src/main/java/com/mb/MbSpringRestApplication.java:13:	UnnecessaryAnnotationValueElement:	UnnecessaryAnnotationValueElement: Avoid the use of value in annotations when its the only element
src/main/java/com/mb/common/constant/ApiPath.java:12:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ApiPath.java:15:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ApiPath.java:15:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/AppConstant.java:10:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: This class has only private constructors and may be final
src/main/java/com/mb/common/constant/AppConstant.java:10:	DataClass:	DataClass: The class 'AppConstant' is suspected to be a Data Class (WOC=0.000%, NOPA=6, NOAM=0, WMC=1)
src/main/java/com/mb/common/constant/AppConstant.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/AppConstant.java:16:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/AppConstant.java:17:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/AppConstant.java:17:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/AppConstant.java:18:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/AppConstant.java:18:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/AppConstant.java:19:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/AppConstant.java:19:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/AppConstant.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/AppConstant.java:20:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/AppConstant.java:21:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/AppConstant.java:21:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/AppConstant.java:21:	LongVariable:	LongVariable: Avoid excessively long variable names like APP_SPRING_BOOT_VERSION
src/main/java/com/mb/common/constant/ExceptionMessage.java:10:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: This class has only private constructors and may be final
src/main/java/com/mb/common/constant/ExceptionMessage.java:10:	DataClass:	DataClass: The class 'ExceptionMessage' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)
src/main/java/com/mb/common/constant/ExceptionMessage.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:16:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:16:	LongVariable:	LongVariable: Avoid excessively long variable names like INTERNAL_SERVER_ERROR
src/main/java/com/mb/common/constant/ExceptionMessage.java:19:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:19:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:19:	LongVariable:	LongVariable: Avoid excessively long variable names like SOURCE_OR_DESTINATION_IS_NULL
src/main/java/com/mb/common/constant/ExceptionMessage.java:22:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:22:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:23:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:23:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:23:	LongVariable:	LongVariable: Avoid excessively long variable names like INVALID_REQUEST_PARAMS
src/main/java/com/mb/common/constant/ResponseMessage.java:10:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: This class has only private constructors and may be final
src/main/java/com/mb/common/constant/ResponseMessage.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ResponseMessage.java:16:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/controller/AppController.java:23:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/controller/AppController.java:26:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/controller/AppController.java:29:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/controller/AppController.java:40:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'healthCheck' could be declared final
src/main/java/com/mb/common/entity/BaseEntity.java:42:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/entity/BaseEntity.java:42:	ShortVariable:	ShortVariable: Avoid variables with short names like id
src/main/java/com/mb/common/entity/BaseEntity.java:46:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/entity/BaseEntity.java:51:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/entity/BaseEntity.java:56:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomException.java:29:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/exception/CustomException.java:38:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'detail' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:38:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'httpStatus' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:38:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:51:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'httpStatus' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:51:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:64:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:78:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'detail' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomException.java:78:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:32:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:35:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:38:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:49:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'customException' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:63:	LongVariable:	LongVariable: Avoid excessively long variable names like nullPointerException
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:69:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:80:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ex' is not assigned and could be declared final
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:80:	ShortVariable:	ShortVariable: Avoid variables with short names like ex
src/main/java/com/mb/common/exception/CustomExceptionHandler.java:83:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'validationErrors' could be declared final
src/main/java/com/mb/common/model/ErrorResponse.java:28:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:30:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:32:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:34:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ErrorResponse.java:36:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:18:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:22:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:24:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/HealthCheck.java:26:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/SuccessResponse.java:21:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/SuccessResponse.java:23:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/SuccessResponse.java:25:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/SuccessResponse.java:27:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ValidationErrorModel.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ValidationErrorModel.java:18:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/model/ValidationErrorModel.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/util/CustomResponseBuilder.java:21:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/util/CustomResponseBuilder.java:23:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/CustomResponseBuilder.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'data' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'httpStatus' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:35:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'response' could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:44:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/CustomResponseBuilder.java:53:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'detail' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:53:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'httpStatus' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:53:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:54:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'errors' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:56:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'errorResponse' could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:66:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/com/mb/common/util/CustomResponseBuilder.java:76:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'detail' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:76:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'message' is not assigned and could be declared final
src/main/java/com/mb/common/util/CustomResponseBuilder.java:77:	LongVariable:	LongVariable: Avoid excessively long variable names like validationErrorModels
